;pharmacie;lien;adresse;coordonnee;telephone
0;Grande Pharmacie Commerciale;https://www.telecontact.ma/annonceur/grande-pharmacie-commerciale-/0285200/casablanca.php; 9, bd Mohammed V ;33.5956, -7.61698;0522222373
1;Grande Pharmacie Sidi Bernoussi;https://www.telecontact.ma/annonceur/grande-pharmacie-sidi-bernoussi-/0283300/casablanca.php; bd Mohamed B. Ahmed El Abdi -ex B., cité Bernoussi;33.6093034895029, -7.506414051451088;0522731637
2;Grande Pharmacie de Paris;https://www.telecontact.ma/annonceur/grande-pharmacie-de-paris-/0296200/casablanca.php; 60, rue Allal Ben Abdallah ;33.59577037124109, -7.6149714575138105;0522274210
3;Grande pharmacie du Maroc;https://www.telecontact.ma/annonceur/grande-pharmacie-du-maroc-/0293200/casablanca.php; place Bandoeng ;33.592158891696194, -7.606771900825506;0522304228
4;Ma Pharmacie;https://www.telecontact.ma/annonceur/ma-pharmacie-/3221796/casablanca.php; 30 Bis, lotiss. El Fath II , Sidi Maârouf;33.53797525355965, -7.6515013951454875;0522786205
5;Pharmacie 10 Mars;https://www.telecontact.ma/annonceur/pharmacie-10-mars-/1223300/casablanca.php; 851, avenue du Cdt Driss Lharti - ex A, Salama III;33.55708356649251, -7.558639366963038;0522577168
6;Pharmacie 2M;https://www.telecontact.ma/annonceur/pharmacie-2m-/3013531/casablanca.php; 128, allée des Orangers ;33.60600993051693, -7.544741760296336;0522343155
7;Pharmacie Aba Chouaïb Doukkali;https://www.telecontact.ma/annonceur/pharmacie-aba-chouaob-doukkali-/3154034/casablanca.php; 834, bd Aba Chouaïb Doukali ;33.563, -7.59368;0522821884
8;Pharmacie Abazid;https://www.telecontact.ma/annonceur/pharmacie-abazid-/3276571/casablanca.php; 39, lotiss. Assia , Sidi Maarouf;33.50901742741704, -7.649142778161604;0522580119
9;Pharmacie Abdelali;https://www.telecontact.ma/annonceur/pharmacie-abdelali-/1566600/casablanca.php; 42, bd Taza, Hay My Abdellah Inara II;33.542379267402424, -7.593876478451356;0522218884
10;Pharmacie Abdelhadi;https://www.telecontact.ma/annonceur/pharmacie-abdelhadi-/3012485/casablanca.php; 149, avenue Akid Allam ;33.5563, -7.54779;0522707279
11;Pharmacie Abdelkader Essahraoui;https://www.telecontact.ma/annonceur/pharmacie-abdelkader-essahraoui-/3150826/casablanca.php; 52, avenue Abdelkader Essahraoui ;33.563, -7.53266;0522555550
12;Pharmacie Abdelkarim;https://www.telecontact.ma/annonceur/pharmacie-abdelkarim-/3076806/casablanca.php; hay Rahma, rue 1 n°2, 3 et 4;33.56429746066217, -7.534432387133847;0522713804
13;Pharmacie Abdellatif;https://www.telecontact.ma/annonceur/pharmacie-abdellatif-/3115794/casablanca.php; lotiss. Alhadika, imm. 1 mag. 1;33.5785, -7.59373;0522719856
14;Pharmacie Abdelmoumen;https://www.telecontact.ma/annonceur/pharmacie-abdelmoumen-/0280100/casablanca.php; 116, bd Abdelmoumen ;33.576, -7.6259;0522255897
15;Pharmacie Abdessalam;https://www.telecontact.ma/annonceur/pharmacie-abdessalam-/3056136/casablanca.php; Hay Chrifa, rue 3 n°30 bis;33.53496347350796, -7.603863306520907;0522212736
16;Pharmacie Abdessamad;https://www.telecontact.ma/annonceur/pharmacie-abdessamad-/3141006/casablanca.php; lot. El Azhar Lot. 12 z.i.4;33.60394272344206, -7.489821886798154;0522767686
17;Pharmacie Abdou;https://www.telecontact.ma/annonceur/pharmacie-abdou-/2109972/casablanca.php; cité Sidi Othmane, bloc 4, rue 46 n°28 bis;33.56074102287679, -7.570873027136258;0522385714
18;Pharmacie Abi Houraira;https://www.telecontact.ma/annonceur/pharmacie-abi-houraira-/3076337/casablanca.php; 21, avenue Abou Houraïra, Cplxe Abi Houraira;33.55753282445787, -7.58014474078368;0522383375
19;Pharmacie Abi Regrag;https://www.telecontact.ma/annonceur/pharmacie-abi-regrag-/2151048/casablanca.php; bd Oued Abi Raqraq Ang. rue n°3 oulfa;33.563, -7.68192;0522908568
20;Pharmacie Abir;https://www.telecontact.ma/annonceur/pharmacie-abir-/3196979/casablanca.php; hay Sidi Moumen, grp.6 rue 22 n°3;33.58306042571491, -7.54235026814581;0522712805
21;Pharmacie Abna Achouhada;https://www.telecontact.ma/annonceur/pharmacie-abna-achouhada-/2110054/casablanca.php; Hay Saïda, rue 10 n°127;33.591984562465676, -7.561250335062882;0522621704
22;Pharmacie Abou Ayoub;https://www.telecontact.ma/annonceur/pharmacie-abou-ayoub-/3253477/casablanca.php; avenue du Dix Mars, hay El Wahda I rue 1 n°1;33.54527191250076, -7.544468470095126;0522385385
